service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,service_name,case_record_type,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,public_description,iamfloc,floc
2837872,,,2020-01-01T10:27:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2275 Emerald,,,,,,FO Self Generate,,pallet,,
2837873,,,2020-01-01T10:28:00,13,72 Hour Violation,Parking,2020-01-14T00:00:00,Closed,32.73685,-117.0849,"3042 51st St, San Diego, CA 92105, USA",92105,4,57,Mid-City:Eastern Area,,Web,,Has been parked on Rombough pl for over a month,SS-001221,SS-001221
2837874,,,2020-01-01T10:29:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.8039047,-117.2286793,"4618 Pendleton St, San Diego, CA 92109",92109,2,27,Pacific Beach,,Phone,,file cabinet,,
2837875,,40300225175,2020-01-01T10:29:00,13,Pothole,TSW,2020-01-14T00:00:00,Closed,32.8989988,-117.1414406,,,6,15,Mira Mesa,,Mobile,,Big pothole camino ruiz southbound before carrol canyon road,SS-031962-PV1,SS-031962-PV1
2837876,,40300225155,2020-01-01T10:30:00,8,Pothole,TSW,2020-01-09T00:00:00,Closed,32.77171692,-117.140197,,,7,19,Mission Valley,,Web,,"Large pothole in southbound lane of Qualcomm way, just before Camino Del Rio north heads west towards Target .",SS-022471-PV1,SS-022471-PV1
2837877,,,2020-01-01T10:30:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4220 Kendall,,,,,,FO Self Generate,,appliance,,
2837878,,40300225147,2020-01-01T10:30:00,13,Pothole,TSW,2020-01-14T00:00:00,Closed,32.8986411,-117.1406765,,,6,15,Mira Mesa,,Mobile,,Pothole at intersection camino ruiz south and carrol canyon road,SS-031962-PV1,SS-031962-PV1
2837879,,,2020-01-01T10:31:00,8,Shared Mobility Device,ESD Complaint/Report,2020-01-09T00:00:00,Closed,32.70952,-117.1545722,1150 J St,,3,4,Downtown,,Mobile,,Scooters blocking sidewalk! Tripping hazard! Not coral!,,
2837880,,,2020-01-01T10:31:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4226 Lamont,,,,,,FO Self Generate,,table,,
2837881,,,2020-01-01T10:32:00,3,Shared Mobility Device,ESD Complaint/Report,2020-01-04T00:00:00,Referred,32.70938,-117.1544112,1101?1199 J St,,3,4,Downtown,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,Scooters blocking sidewalk! Tripping hazard! Not coral!,,
2837882,,,2020-01-01T10:33:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2126 Reed,,,,,,FO Self Generate,,"3 pallet, chair",,
2837883,,,2020-01-01T10:33:00,3,Shared Mobility Device,ESD Complaint/Report,2020-01-04T00:00:00,Referred,32.711345,-117.1558138,544 Tenth Ave,,3,4,Downtown,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,Scooter blocking wheelchair ramp! ADA violation!,,
2837884,,,2020-01-01T10:34:00,8,Shared Mobility Device,ESD Complaint/Report,2020-01-09T00:00:00,Closed,32.71203333,-117.1554417,1002 Market St,,3,4,Downtown,,Mobile,,Scooters blocking sidewalk! Tripping hazard! Not coral!,,
2837885,,,2020-01-01T10:34:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4276 Haines St,,,,,,FO Self Generate,,BS,,
2837886,,,2020-01-01T10:34:00,8,Shared Mobility Device,ESD Complaint/Report,2020-01-09T00:00:00,Closed,32.712025,-117.1555112,655 Tenth Ave,,3,4,Downtown,,Mobile,,Scooters blocking sidewalk! Tripping hazard! Not coral!,,
2837887,,,2020-01-01T10:35:00,0,Sidewalk Repair Issue,TSW,2020-01-01T00:00:00,Referred,32.71507167,-117.1626195,,,3,4,Downtown,,Mobile,This report has been referred to Police CRO ? Central at sdpdcentral@pd.sandiego.gov,Scooter illegally riding on sidewalk!,SS-004971-SO2,SS-004971
2837888,,,2020-01-01T10:35:00,0,Sidewalk Repair Issue,TSW,2020-01-01T00:00:00,Referred,32.71468667,-117.1612167,,,3,4,Downtown,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,Scooters blocking sidewalk! Tripping hazard! Not coral!,SS-000136-SE1,SS-000136
2837889,,,2020-01-01T10:36:00,0,Sidewalk Repair Issue,TSW,2020-01-01T00:00:00,Referred,32.71361167,-117.1593083,,,3,4,Downtown,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,Scooter blocking bike lane!,SS-010714-SO1,SS-010714
2837890,,,2020-01-01T10:36:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4325 Haines St,,,,,,FO Self Generate,,2 chairs,,
2837891,,,2020-01-01T10:36:00,0,Sidewalk Repair Issue,TSW,2020-01-01T00:00:00,Referred,32.711405,-117.1575555,,,3,4,Downtown,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,2 people on 1 scooter illegally riding on sidewalk!,SS-017570-SO1,SS-017570
2837892,,,2020-01-01T10:37:00,0,Sidewalk Repair Issue,TSW,2020-01-01T00:00:00,Referred,32.71125333,-117.1557,,,3,4,Downtown,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,Scooter illegally riding on sidewalk!,SS-000322-SE1,SS-000322
2837893,,,2020-01-01T10:37:00,2,Dead Animal,ESD Complaint/Report,2020-01-03T00:00:00,Closed,32.75919718,-117.2040565,"El Camino Real, San Diego, Ca 92110, Usa",,2,14,Midway-Pacific Highway,,Mobile,,"Dead raccoon on side of freeway. On the 8 west freeway, left lane under the 5 freeway",,
2837894,,,2020-01-01T10:37:00,0,Sidewalk Repair Issue,TSW,2020-01-01T00:00:00,Referred,32.71150833,-117.1581888,,,3,4,Downtown,,Mobile,This report has been referred to Police CRO ? Central at sdpdcentral@pd.sandiego.gov,2 scooters illegally riding on sidewalk!,SS-017570-SO1,SS-017570
2837895,,,2020-01-01T10:37:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,1134 Thomas,,,,,,FO Self Generate,,dresser,,
2837896,,,2020-01-01T10:39:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,1141 Thomas,,,,,,FO Self Generate,,"BBQ, chair",,
2837897,,40300225156,2020-01-01T10:39:00,1,Traffic Signal Light Out,TSW,2020-01-02T00:00:00,Closed,32.74692352,-117.1616072,,,3,42,Uptown,,Mobile,,The yellow ball on the light standard at the southwest corner of Fourth Ave. & Robinson Ave. is dark.,SG-201503,SX-010881-001
2837898,,,2020-01-01T10:39:00,0,Sidewalk Repair Issue,TSW,2020-01-01T00:00:00,Referred,32.7051,-117.1579222,,,3,4,Downtown,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,2 people on 1 scooter illegally riding on sidewalk: 1 irresponsible adult and 1 small child hanging on to dear life!!!,,SS-013026
2837899,,,2020-01-01T10:40:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,1413 Thomas,,,,,,FO Self Generate,,dresser,,
2837900,,,2020-01-01T10:40:00,8,72 Hour Violation,Parking,2020-01-09T00:00:00,Closed,32.75913,-117.07356,"4550 Collwood Blvd, San Diego, CA 92115, USA",92115,9,38,College Area,,Web,,CAR HAS BEEN PARKED UNMOVED FOR SEVERAL MONTHS.,SS-007652,SS-007652
2837901,,,2020-01-01T10:41:00,0,Other,TSW,2020-01-01T00:00:00,Referred,32.78583768,-117.2400038,,,2,17,Mission Bay Park,MISSION BAY PARK,Mobile,This report has been referred to SMD at sd@sweepcrew.com,illegal scooter parked/dumped on bay front walk,SS-023293,SS-023293
2837902,,,2020-01-01T10:42:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,1951 Thomas,,,,,,FO Self Generate,,BS,,
2837903,,,2020-01-01T10:43:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,1955 Thomas,,,,,,FO Self Generate,,table,,
2837904,,,2020-01-01T10:44:00,9,72 Hour Violation,Parking,2020-01-10T00:00:00,Closed,32.96137,-117.15182,"8224 Torrey Gardens Pl, San Diego, Ca 92129, Usa",92129,5,52,Torrey Highlands,,Mobile,,Red car parked over week damage,SS-031101,SS-031101
2837905,,,2020-01-01T10:45:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2145 Thomas,,,,,,FO Self Generate,,2 chairs,,
2837906,,,2020-01-01T10:47:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4325 Noyes,,,,,,FO Self Generate,,Christmas tree,,
2837907,,,2020-01-01T10:48:00,1,Parking Zone Violation,Parking,2020-01-02T00:00:00,Closed,32.7431,-117.09763,"3533 45th St, San Diego, Ca 92105, Usa",92105,9,56,Mid-City:City Heights,,Mobile,,Car parked in driveway,SS-001077,SS-001077
2837908,,,2020-01-01T10:48:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,4555 Bond,,,,,,FO Self Generate,,couch,,
2837909,,,2020-01-01T10:50:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3487 Del Rey St,,,,,,FO Self Generate,,"couch, chair",,
2837910,,,2020-01-01T10:50:00,28,72 Hour Violation,Parking,2020-01-29T00:00:00,Closed,32.80739617,-117.2605296,727 Sapphire St,92109,2,27,Pacific Beach,,Mobile,,,SS-024338,SS-024338
2837912,,,2020-01-01T10:52:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.78788627,-117.1746397,"2444 Comstock St, San Diego, CA 92111",92111,7,12,Linda Vista,,FO Self Generate,,"chair, carpet, wood",,
2837913,,40300225148,2020-01-01T10:54:00,7,Pothole,TSW,2020-01-08T00:00:00,Closed,32.81220474,-117.2505192,,,2,27,Pacific Beach,,Mobile,,Pot hole located in the right lane as you are heading up Cardeno.,SS-010878-PV1,SS-010878-PV1
2837914,,,2020-01-01T10:54:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.8108912,-117.2399004,"5077 Soledad Rd, San Diego, CA 92109",92109,2,27,Pacific Beach,,FO Self Generate,,"palm fronds, trash",,
2837915,,,2020-01-01T10:57:00,6,72 Hour Violation,Parking,2020-01-07T00:00:00,Closed,32.79695846,-117.2461596,4406 Fanuel St,92109,2,27,Pacific Beach,,Mobile,,This motorcycle has been parked in this location for a week.,SS-010897,SS-010897
2837916,,,2020-01-01T10:57:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.7548818,-117.2436151,"2390 Bacon St, San Diego, CA 92107",92107,2,17,Mission Bay Park,,FO Self Generate,,"green pile, 4 Christmas trees, 2 trash bags",,
2837917,,,2020-01-01T10:58:00,6,Illegal Dumping,ESD Complaint/Report,2020-01-07T00:00:00,Closed,32.81695161,-117.1603913,"4052 Antiem St, San Diego, CA 92111",92111,6,6,Clairemont Mesa,,Mobile,,Neighbor placed old stroller/trash out on the curb.,,
2837918,,40300225109,2020-01-01T10:59:00,26,Street Light Out,TSW,2020-01-27T00:00:00,Closed,32.74708898,-117.1274587,,,3,28,North Park,,Mobile,,Street light is out on North Park Way between 31st St & Grim Ave. it's next to Tribute Pizza in front of an alley.,PL-343400,SX-010843-001
2837919,,,2020-01-01T11:00:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.7571981,-117.2163045,"3948 Hancock St, San Diego, CA 92110",92110,2,14,Midway-Pacific Highway,,FO Self Generate,,"2 shopping carts, table",,
2837920,,,2020-01-01T11:01:00,2,Shared Mobility Device,ESD Complaint/Report,2020-01-03T00:00:00,Referred,32.82659912,-117.0798317,"4704 Valdina Way, San Diego, CA 92124",92124,7,47,Tierrasanta,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,Like scooters dumped x8,,
2837921,,40300225184,2020-01-01T11:02:00,14,Palm Frond Cleanup,TSW,2020-01-15T00:00:00,Closed,32.80425,-117.2562726,,,2,27,Pacific Beach,,Mobile,,Piles of palm fronds at 871 and 868 Wilbur Ave.,TR-RW-0095100,SS-028778
2837922,,,2020-01-01T11:04:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2900 Sports Arena,,,,,,FO Self Generate,,"mattress, chair, shopping cart",,
2837923,2837921,,2020-01-01T11:06:00,14,Palm Frond Cleanup,TSW,2020-01-15T00:00:00,Closed,32.8042322,-117.256243,,,2,27,Pacific Beach,,Mobile,,Piles of palm fronds at 871 and 868 Wilbur Ave.,TR-RW-0095100,SS-028778
2837924,,,2020-01-01T11:07:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2500 Sports Arena,,,,,,FO Self Generate,,shopping cart,,
2837925,,,2020-01-01T11:07:00,14,72 Hour Violation,Parking,2020-01-15T00:00:00,Closed,32.80529959,-117.0400743,7252 Birchcreek Rd,92119,7,20,Navajo,,Mobile,,Car was previously parked between 7252 and 7262 Birchcreek Road for nearly three weeks without moving and with expired tags. Car appeared to get cited and was moved a few days after citation. Reappeared in front of 7252 Birchcreek Road with current tags the evening of December 28th and has not moved again since.,SS-004268,SS-004268
2837926,,,2020-01-01T11:09:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2400 G St,,,,,,FO Self Generate,,wood pile,,
2837928,,,2020-01-01T11:11:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.6938901,-117.1253526,"1214 32nd St, San Diego, CA 92113",92113,8,2,Barrio Logan,,FO Self Generate,,mattress,,
2837929,,,2020-01-01T11:13:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2993 Boston,,,,,,FO Self Generate,,"BS, mattress",,
2837930,,,2020-01-01T11:13:00,14,72 Hour Violation,Parking,2020-01-15T00:00:00,Closed,32.968205,-117.1937867,6098 Seafaring Way,92130,1,62,Pacific Highlands Ranch,,Mobile,,Truck an 2 trailers parked in same spot 5+ days,SS-037946,SS-032749
2837931,,,2020-01-01T11:15:00,0,Litter,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2993 Boston,,,,,,FO Self Generate,,10 bags,,
2837932,2816233,,2020-01-01T11:16:00,5,Pothole,TSW,2020-01-06T00:00:00,Closed,32.75144404,-117.241783,,,2,17,Mission Bay Park,,Web,,Numerous pot holes at intersection of West Pt oma Bl both lanes. Also numerous pot holes including long gashes from Union 76 Gas station north to Nimitz Bl needs filling.,SS-025880-PV1,SS-025880-PV1
2837935,,,2020-01-01T11:16:00,0,Litter,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.6938901,-117.1253526,"1214 32nd St, San Diego, CA 92113",92113,8,2,Barrio Logan,,FO Self Generate,,22 bags,,
2837938,2834947,,2020-01-01T11:18:00,12,Traffic Sign - Maintain,TSW,2020-01-13T00:00:00,Closed,32.80699298,-117.2250521,,,2,27,Pacific Beach,,Mobile,,Turn sign down,SS-025186,SS-025186
2837939,,40300225192,2020-01-01T11:18:00,12,Pothole,TSW,2020-01-13T00:00:00,Closed,32.75397051,-117.2373413,,,2,23,Ocean Beach,,Web,,Several pot holes at intersection with right lane at entrance to I=8 Sunset Cliffs Bl east bound needs filling please.,SS-019924-PV1,SS-019924-PV1
2837940,,,2020-01-01T11:18:00,0,Litter,ESD Complaint/Report,2020-01-01T00:00:00,Closed,32.705276,-117.1296496,"2999 Commercial St, San Diego, CA 92113",92113,8,37,Southeastern San Diego,,FO Self Generate,,10 bags,,
2837941,2476625,,2020-01-01T11:19:00,339,Sidewalk Repair Issue,TSW,,In Process,32.74615195,-117.247619,,,2,23,Ocean Beach,,Mobile,,Pothole in sidewalk. Child tripped on it.  Not super dangerous but someone should fix it.,SS-024290-SO1,SS-024290
2837943,,,2020-01-01T11:19:00,3,Encampment,Neighborhood Policing,2020-01-04T00:00:00,Closed,32.75704841,-117.1434563,"2015 Meade Ave, San Diego, Ca 92116, Usa",92104,3,28,North Park,,Mobile,,Someone sleeping behind garbage cans in driveway of empty house nextdoor.,SS-017896,SS-017896
2837945,,,2020-01-01T11:20:00,0,Litter,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2700 G St,,,,,,FO Self Generate,,10 bags,,
2837946,2827833,,2020-01-01T11:21:00,5,Pothole,TSW,2020-01-06T00:00:00,Closed,32.76205472,-117.2007345,,,7,19,Mission Valley,MISSION VALLEY PRESERVE,Web,,2nd request Pot hole Friars Rd east bound just about under and just east of trolley overpass. You filled pot hole 150 ft east of trolley overpass but forgot this long standing pot hole. Thanks !,SS-011515-PV1,SS-011515-PV1
2837947,,40300225194,2020-01-01T11:21:00,1,Other Right-of-Way Maintenance,TSW,2020-01-02T00:00:00,Closed,32.76772647,-117.1229333,,,3,59,Mid-City:Normal Heights,,Web,,There's a tire in the street at the intersection at 33rd St and N Mountain View Dr.,SS-020093,SS-020093
2837948,,,2020-01-01T11:22:00,0,Litter,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2400 G St,,,,,,FO Self Generate,,20 bags,,
2837949,,,2020-01-01T11:22:00,2,Illegal Dumping,ESD Complaint/Report,2020-01-03T00:00:00,Referred,33.0744662,-117.0001878,"15606 Bandy Canyon Rd, Escondido, Ca 92025, Usa",,5,32,San Pasqual,,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,HAZMAT South of roadway off of bandy canyon,,
2837950,,40300225185,2020-01-01T11:23:00,1,Pothole,TSW,2020-01-02T00:00:00,Closed,32.83744307,-117.1932208,,,6,6,Clairemont Mesa,,Mobile,,big potholes,SS-007839-PV1,SS-007839-PV1
2837951,,40300225193,2020-01-01T11:23:00,12,Pothole,TSW,2020-01-13T00:00:00,Closed,32.76165775,-117.2137164,,,2,17,Mission Bay Park,,Web,,New pot hole just east of S. Shores parkway east bound and numerous pot holes all lanes from here to I-5 needs filling please.,SS-024635-PV1,SS-024635-PV1
2837952,,,2020-01-01T11:24:00,0,Litter,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,2900 Sports Arena,,,,,,Phone,,22 bags,,
2837953,,40300225210,2020-01-01T11:24:00,26,Traffic Signal Timing Issue,TSW,2020-01-27T00:00:00,Closed,32.9754608,-117.2256339,,,1,49,Fairbanks Ranch Country Club,,Mobile,,All the timing for the traffic lights on this stretch of El Camino Real are off. The lights turn red when there is no need to. It causes more traffic because it stops the flow. They should be checked.,SG-200617,SX-000817-001
2837954,,,2020-01-01T11:25:00,0,Other,TSW,2020-01-01T00:00:00,Referred,32.79308824,-117.2418283,,,2,27,Pacific Beach,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,illegally parked scooter,SS-023288,SS-023288
2837955,,,2020-01-01T11:26:00,0,Other,TSW,2020-01-01T00:00:00,Referred,32.79296754,-117.2417074,,,2,27,Pacific Beach,,Mobile,This report has been referred to SMD at sd@sweepcrew.com,illegal parked scooters,SS-023288,SS-023288
2837956,,40300225176,2020-01-01T11:27:00,12,Pothole,TSW,2020-01-13T00:00:00,Closed,32.80756884,-117.21318,,,2,6,Clairemont Mesa,,Web,,Large pot hole across both north bound lanes just north of transition road 20 feet approximately from Balboa Rd east at stop light to Morena Bl north. Just north of stop light. Thanks !,SS-019010-PV1,SS-019010-PV1
2837957,,,2020-01-01T11:27:00,0,Illegal Dumping,ESD Complaint/Report,2020-01-01T00:00:00,Closed,,,3200 Harbor Dr,,,,,,FO Self Generate,,"2 buckets,",,
2837959,,,2020-01-01T11:27:00,1,Missed Collection,ESD Complaint/Report,2020-01-02T00:00:00,Closed,32.7470898,-117.2374239,"2244 Soto St, San Diego, CA 92107, USA",,2,30,Peninsula,,Web,,My trash can was not emptied on Monday 12/30/19. There was no note left on the container. My recycling was emptied but not the trash. My neighbors trash cans were missed as well.,,
2837960,,40300225211,2020-01-01T11:29:00,1,Traffic Signal Head Turned,TSW,2020-01-02T00:00:00,Closed,32.98312866,-117.2267673,,,1,61,Ncfua Subarea Ii,,Mobile,,Elevated Signal is pushed out to left versus head-on to traffic.,SG-200602,SX-000705-001
2837961,,,2020-01-01T11:29:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Closed,32.7842899,-117.1481717,,,7,35,Serra Mesa,,Web,,,SS-021735,SS-021735
2837962,2831240,,2020-01-01T11:29:00,170,Dead Animal,ESD Complaint/Report,2020-06-19T00:00:00,Closed,32.68753052,-117.2449341,1101 Cabrillo Memorial Dr,,2,30,Peninsula,,Mobile,,,,
2837963,,,2020-01-01T11:31:00,1,Encampment,Neighborhood Policing,2020-01-02T00:00:00,Closed,32.72867167,-117.1593862,2225 Sixth Ave,92101,3,1,Balboa Park,,Mobile,,"Active homeless encampments in Balboa Park, 6th Ave near Ivy",SS-000212,SS-000212
2837964,,,2020-01-01T11:32:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Referred,32.7952685,-117.1440571,,,7,35,Serra Mesa,,Web,This report has been referred to Caltrans San Diego at ct.public.information.d11@dot.ca.gov,,SS-019526,SS-019526
2837965,,,2020-01-01T11:32:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.74894683,-117.1710362,,,3,42,Uptown,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,Graffiti on utility box,SS-030048,SS-030048
2837966,,,2020-01-01T11:32:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.83670497,-117.1838936,,,6,6,Clairemont Mesa,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,Power pole near middle school,SS-008803,SS-008803
2837967,,,2020-01-01T11:33:00,15,72 Hour Violation,Parking,2020-01-16T00:00:00,Closed,32.7469,-117.24052,"2136 Froude St, San Diego, Ca 92107, Usa",92107,2,23,Ocean Beach,,Mobile,,abandoned car,SS-011615,SS-011615
2837968,,40300225212,2020-01-01T11:34:00,8,Pothole,TSW,2020-01-09T00:00:00,Closed,32.79194094,-117.2055373,,,2,6,Clairemont Mesa,,Mobile,,,SS-012098-PV1,SS-012098-PV1
2837969,,,2020-01-01T11:36:00,0,Graffiti Removal,TSW,2020-01-01T00:00:00,Referred,32.83886645,-117.1838479,,,6,6,Clairemont Mesa,,Mobile,This report has been referred to Graffiti ? SDGE Poles and Boxes at aesgraffitihotline4sdge@yahoo.com,Power tower in Marion bear by Dawne st,,
2837970,2831917,,2020-01-01T11:36:00,8,Pothole,TSW,2020-01-09T00:00:00,Closed,32.86997,-117.2422467,,,1,10,La Jolla,,Mobile,,Southeast corner of North Torrey Pines and La Jolla Village Dr,SS-026686-PV1,SS-026686-PV1
2837971,,40300225311,2020-01-01T11:38:00,63,Engineering - Sidewalk Evaluation,Traffic Engineering,2020-03-04T00:00:00,Closed,32.81962866,-117.2730767,403 La Canada St,92037,1,10,La Jolla,,Mobile,,No sidewalk or marked crosswalk for very long path adjacent to high traffic La Jolla Bd.,SS-015550,SS-015430
2837972,,40300225177,2020-01-01T11:41:00,34,Guardrails/Barrier Metal/Wooden,TSW,2020-02-04T00:00:00,Closed,32.92435243,-117.2540623,,,1,99,University,,Mobile,,North bound side of 12600 block of north Torrey pines road,SS-020129,SS-020129
2837974,2829151,,2020-01-01T11:44:00,7,Pothole,TSW,2020-01-08T00:00:00,Closed,32.69810308,-117.0262032,,,4,44,Skyline-Paradise Hills,,Mobile,,"3 pothole I could disappear into going NB, in the bike lane",SS-029640-PV1,SS-029640-PV1
2837975,,,2020-01-01T11:48:00,89,Dead Animal,ESD Complaint/Report,2020-03-30T00:00:00,Closed,32.73388672,-117.2288804,"3517 Poe St, San Diego, CA 92106",92106,2,30,Peninsula,,Mobile,,,,
2837976,,,2020-01-01T11:48:00,2,Illegal Dumping,ESD Complaint/Report,2020-01-03T00:00:00,Closed,32.7526396,-117.1451956,"4126 Georgia St, San Diego, CA 92103, USA",,3,28,North Park,,Web,,Someone dumped a couch in the alley and we need help getting this removed and disposed of.,,
2837977,,40300225178,2020-01-01T11:51:00,339,Tree Trimming Contract,TSW,,In Process,32.8347305,-117.2581734,,,1,10,La Jolla,,Web,,Trees on the street were last trimmed by the City in 2016. They?ve grown so out of control that recycling and trash trucks cannot pick up cans beneath them (the claw on the truck cannot lift the can into the truck without hitting the trees). At this point the overgrowth has reached halfway to the opposite side of the street and will probably fully cover the street creating a tunnel if not trimmed back soon.,TR-RW-0081667,SS-027926
2837978,2834092,,2020-01-01T11:51:00,89,Dead Animal,ESD Complaint/Report,2020-03-30T00:00:00,Closed,32.73678589,-117.2304408,Nimitz Blvd,,2,30,Peninsula,,Mobile,,,,
2837980,,40300225186,2020-01-01T11:53:00,203,Street Light Out,TSW,2020-07-22T00:00:00,Closed,32.7789027,-117.2096401,,,2,17,Mission Bay Park,,Web,,Street Lights out on E.Mission Bay Dr. across from the play ground at Mission Bay Park,PL-312093,SS-009756-008
2837981,,,2020-01-01T11:54:00,36,72 Hour Violation,Parking,2020-02-06T00:00:00,Closed,32.83760159,-117.1932016,5079 Constitution Rd,92117,6,6,Clairemont Mesa,,Mobile,,,SS-007839,SS-007839
2837982,2835350,,2020-01-01T11:55:00,8,Pothole,TSW,2020-01-09T00:00:00,Closed,32.8364774,-117.1951168,,,6,6,Clairemont Mesa,,Web,,Pothole getting larger,SS-012005-PV1,SS-012005-PV1
2837983,2835350,,2020-01-01T11:56:00,8,Pothole,TSW,2020-01-09T00:00:00,Closed,32.8367731,-117.1959165,,,6,6,Clairemont Mesa,,Web,,Pothole,SS-012005-PV1,SS-012005-PV1
2837984,,,2020-01-01T11:56:00,1,Encampment,Neighborhood Policing,2020-01-02T00:00:00,Closed,32.7492457,-117.1637008,N32.75 E117.16,92103,3,42,Uptown,,Mobile,,Homeless encampment,SS-000005,SS-000005
2837986,,40300225157,2020-01-01T11:58:00,1,Pothole,TSW,2020-01-02T00:00:00,Closed,32.96492054,-117.0923317,,,5,5,Sabre Springs,,Web,,East bound Ted Williams parkway from turning right from the freeway off ramp. On the far left lane of Ted Williams there are several large size >12? potholes and one very large pothole >20?.,SS-035624-PV1,SA-002895-PV1
2837990,,40300225149,2020-01-01T12:02:00,113,Traffic Sign - Maintain,TSW,2020-04-23T00:00:00,Closed,32.75206672,-117.0667944,,,4,57,Mid-City:Eastern Area,,Web,,Small reflector panels/posts knocked over/missing from both raised median noses; University Ave. and 60th St.,SS-001409,SS-001409
2837991,,,2020-01-01T12:03:00,1,Sidewalk Repair Issue,TSW,2020-01-02T00:00:00,Referred,32.90242004,-117.2253647,,,1,40,Torrey Pines,,Mobile,This report has been referred to appropriate department or agency at street_service@sandiego.gov,The trail users counter has not worked since Thanksgiving week.,SS-023612-SE2,SS-023612
2837992,,,2020-01-01T12:04:00,1,Graffiti Removal,TSW,2020-01-02T00:00:00,Referred,32.84170627,-117.1836728,,,6,6,Clairemont Mesa,,Mobile,This report has been referred to Park and Recreation at askparks@sandiego.gov,On sign Marion bear,,
2837993,,,2020-01-01T12:05:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.7113579,-117.1454485,,,8,37,Southeastern San Diego,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,,SS-017586,SS-017586
2837994,,,2020-01-01T12:07:00,1,Graffiti Removal - Code Enforcement,TSW,2020-01-02T00:00:00,Referred,32.71144389,-117.1451541,,,8,37,Southeastern San Diego,,Mobile,This report has been referred to Graffiti ? ATT Telephone Booths / Cable Box at graffiti@att.com,,SS-017586,SS-017586
